pr01,pr02,pr03,pr04,pr05,pr06,pr07,pr08,pr09,pr10,co01,co02,co03,co04,co05,co06,co07,co08,co09,co10,ut01,ut02,ut03,ut04,ut05,ut06,ut07,ut08,ut09,ut10,ut11,ut12,fa01,fa02,fa03,fa04,fa05,fa06,fa07,fa08,fa09,fa10,de01,de02,de03,de04,de05,de06,de07,de08,de09,de10,de11,un01,un02,un03,un04,un05,un06,un07,un08,un09,un10,un11,un12,gt_score,gt01,gt02,gt03,gt04,gt05,gt06,age,sex,edulvl1,e_dighelp,PR,CO,UT,FA,DE,UN,TAIA,GT
2,2,1,1,2,3,2,3,3,2,2,2,2,2,2,3,2,2,2,3,3,3,3,3,3,3,3,3,3,2,2,1,2,2,2,2,2,2,2,1,2,3,3,2,2,3,3,2,2,3,3,2,2,1,1,2,1,2,1,2,3,2,1,3,1,1.6666666666666667,1,1,1,2,3,2,44,f,bachelor,2,21,20,30,20,24,20,135,1.6666666666666667
3,3,4,1,2,3,3,3,3,4,1,3,3,1,1,2,3,2,2,1,5,3,4,3,4,2,2,2,3,2,2,3,2,2,2,1,3,2,3,3,2,2,1,3,2,3,4,2,2,1,4,4,3,2,1,1,2,2,1,1,1,1,2,1,2,2.8333333333333335,3,3,3,3,3,2,22,f,college,3,29,16,33,22,26,17,143,2.8333333333333335
4,3,3,3,3,4,2,4,4,3,3,3,3,3,3,2,2,2,2,2,4,4,4,1,3,4,4,5,3,3,4,4,2,3,1,2,2,3,1,3,3,3,2,2,2,2,4,3,3,3,4,3,3,2,2,2,2,2,2,2,3,2,3,1,2,2.8333333333333335,3,3,2,3,3,3,44,m,college,3.3333333333333335,33,23,40,23,29,25,173,2.8333333333333335
4,3,3,1,1,5,3,4,1,1,4,2,4,4,4,4,0,3,4,3,5,4,5,3,0,5,5,5,4,5,1,1,3,5,2,4,4,2,1,0,1,5,0,1,3,2,1,2,4,1,1,4,0,3,0,2,3,2,0,1,0,0,0,0,0,1.3333333333333333,0,0,1,1,4,2,53,f,college,3.6666666666666665,26,32,38,27,17,11,151,1.3333333333333333
2,3,3,4,2,4,3,3,3,1,1,1,3,3,0,3,0,0,0,3,4,2,4,2,2,4,3,3,3,2,2,2,1,0,1,1,1,1,1,1,0,5,2,2,2,2,4,2,4,2,4,1,1,4,4,4,4,4,3,2,4,4,3,3,4,2.1666666666666665,2,1,3,3,1,3,23,m,college,3,28,14,31,12,24,43,152,2.1666666666666665
5,5,0,0,5,5,4,5,5,5,5,4,5,1,5,1,0,5,5,5,4,3,0,3,5,3,5,5,2,3,3,4,5,2,2,1,1,4,1,1,2,3,5,5,0,0,5,5,5,4,5,5,3,4,3,2,5,3,2,5,5,3,2,5,5,3.5,4,4,3,3,3,4,23,m,college,5,39,36,37,22,42,44,220,3.5
0,0,3,0,0,1,0,0,0,4,0,0,2,5,0,2,0,0,0,5,5,2,2,0,0,0,1,0,0,1,0,3,0,0,0,0,1,0,1,0,5,0,2,0,0,5,1,0,2,0,0,0,0,4,5,5,5,5,3,0,5,0,5,2,5,2.3333333333333335,2,3,1,4,4,0,37,m,college,3.5,8,14,13,7,5,44,91,2.3333333333333335
3,2,3,4,1,3,2,3,4,1,2,2,3,4,1,2,3,2,1,2,4,4,5,3,2,0,1,3,4,0,1,3,2,1,1,1,2,1,2,2,2,2,3,1,1,2,4,1,2,3,4,1,1,3,3,3,3,3,4,2,4,3,3,3,4,1.3333333333333333,1,1,1,1,2,2,32,m,specialist,NA,26,19,30,16,21,38,150,1.3333333333333333
4,4,1,2,5,5,5,3,4,3,4,3,4,5,3,3,1,0,3,3,5,5,5,4,5,4,1,5,4,2,5,5,3,2,0,2,3,4,4,3,3,4,2,4,4,0,5,4,4,5,4,4,3,4,5,5,4,5,4,3,4,4,3,5,4,2.1666666666666665,2,2,3,3,1,2,25,f,specialist,NA,36,28,48,28,39,50,229,2.1666666666666665
2,3,2,2,2,2,1,3,3,3,2,3,3,3,3,3,1,3,2,3,3,3,3,3,2,2,3,3,1,1,2,2,1,2,1,1,2,1,1,2,2,2,2,1,2,2,2,1,2,2,1,1,2,4,4,4,4,4,4,2,4,4,4,4,4,1,1,1,1,1,1,1,41,m,college,3.5,23,25,27,15,16,46,152,1
